address       nameptr                          namelen type flags     field_14 type_2 field_1A field_20 field_24 parent_pnt    proc_pnt
7FFFF76479B0h par:content-type:boundary        19h     2Ah  A0000010h 0        11h    0        22h      1Eh      7FFFF7647940h 0
7FFFF76479E8h par:content-type:charset         18h     2Bh  A0000010h 0        12h    0        23h      1Eh      7FFFF7647940h 0
7FFFF7647A20h par:Content-Type:format          17h     4Bh  A0000010h 0        0      0        4Bh      1Eh      7FFFF7647940h 0
7FFFF7647A58h par:Content-Type:reply-type      1Bh     4Ah  A0000010h 0        18h    0        4Ah      1Eh      7FFFF7647940h 0
7FFFF7647A90h par:content-disposition:filename 20h     29h  A0000013h 0        10h    0        25h      1Eh      7FFFF7647170h 7FFFF7646920h
7FFFF7647AC8h par:content-type:name            15h     2Ch  A0000013h 0        13h    0        24h      1Eh      7FFFF7647940h 7FFFF7646910h
7FFFF7647B00h att:filename                     Ch      2Dh  C0000003h 0        14h    0        20h      1Eh      0             7FFFF76478C8h
7FFFF7647B38h att:generated-filename           16h     2Eh  C0000023h 0        15h    0        21h      1Eh      0             7FFFF76478D8h
7FFFF7647B70h att:normalized-subject           16h     31h  C0000023h 0        18h    0        28h      1Eh      0             7FFFF76478E8h
7FFFF7647BA8h att:pri-content-type             14h     2Fh  C0000000h 0        16h    0        26h      1Eh      7FFFF7647940h 7FFFF76468E0h
7FFFF7647BE0h att:sub-content-type             14h     30h  C0000000h 0        17h    0        27h      1Eh      7FFFF7647940h 7FFFF76468F0h
7FFFF7647C18h att:sent-time                    Dh      34h  C0000000h 0        2h     0        34h      40h      7FFFF7646E28h 7FFFF7646930h
7FFFF7647C50h att:received-time                11h     35h  C0000020h 0        3h     0        35h      40h      7FFFF7646960h 7FFFF7646940h
7FFFF7647C88h att:priority                     Ch      36h  C0000000h 0        4h     0        36h      13h      0             7FFFF7646950h
